Anon Student Id;Cuenta de Problem Name;Cuenta de Step Name;Suma de Step Duration (sec);Suma de Correct Step Duration (sec);Suma de Error Step Duration (sec);Suma de Correct First Attempt;Suma de Problem View;Suma de Corrects;Suma de Incorrects;Suma de Hints;Duracion Promedia por paso (sec);Durancion promedia pasos correctos;Duracion promedia de pasos incorrectos;Promedio de pasos resueltos en primer intento
02i5jCrfQK;6654;6654;118700;60706;57993;5171;11836;7598;2670;2230;18;8;22;0.78
02ZjVTxC34;1348;1348;52857;18098;34759;865;3395;1451;847;792;39;12;41;0.64
0493L6bGa9;442;442;15661;9381;6280;336;1195;561;180;135;35;17;35;0.76
04N6FdP4pd;555;555;17316;9361;7955;430;681;604;377;161;31;15;21;0.77
075kbY53c1;5582;5582;166334;57490;108844;3574;10792;6796;4786;2735;30;8;23;0.64
081u59Iq1D;799;799;23205;13978;9227;702;1264;938;175;121;29;15;53;0.88
0BrbPbwCMz;712;712;24065;11146;12919;520;991;834;338;311;34;13;38;0.73
0ccXSz8Bk8;302;302;14481;5103;9378;214;972;392;218;192;48;13;43;0.71
0GlR30c2Mt;3260;3260;106775;51380;55395;2447;6615;3754;1810;536;33;14;31;0.75
0jSb6S70X1;3939;3939;83156;34002;49155;2978;7141;4667;2409;1119;21;7;20;0.76
0KS4yy9G96;3556;3556;69983;41904;28079;2958;4636;4152;1228;263;20;10;23;0.83
0nF0z1401O;303;303;19461;10934;8528;242;399;364;93;86;64;30;92;0.80
0u17bw7v7w;1674;1674;35640;22601;13039;1389;1928;1807;459;448;21;13;28;0.83
0U9x5pNv8t;6154;6154;146167;70106;76061;4633;11312;7221;3333;2111;24;10;23;0.75
0w3IAZa8rQ;1485;1485;37328;18777;18551;1164;2773;1750;1029;204;25;11;18;0.78
0w8srd7i18;672;672;25306;18158;7148;546;938;931;285;113;38;20;25;0.81
0YvZonpLW8;637;637;8346;3826;4520;499;806;675;236;145;13;6;19;0.78
0ZroSLGL09;395;395;6844;3664;3180;339;481;418;137;20;17;9;23;0.86
